factor_or_row,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q21,Q22
F1,0.48*,0.51*,0.60*,0.50*,0.50*,0.59*,0.01,-0.04,0.37,0.33*,0.44*,0.46*,0.07,0.19,0.48*,0.04,0.00,0.67*,0.33*,0.54
F2,0.06,-0.10,0.00,-0.06,0.30*,0.41*,0.95*,0.89*,0.42*,0.33,-0.22,0.18,0.15*,0.15,0.00,-0.08,0.11,-0.09,0.21*,-0.05
F3,0.13*,0.11*,0.02,0.06,-0.04,-0.13,0.03,0.05,-0.09,0.00,0.04,0.12*,0.10*,0.02,0.11*,0.95*,0.97*,0.13*,0.04,0.04
F4,-0.02,0.12,0.08,0.17,0.24,0.07,-0.08,0.18,0.18,0.00,0.28,0.03,0.74*,0.54,0.07,0.21*,-0.17*,-0.13,0.14,-0.46
